sn,sentence/context,polysemy_word
1,I have bank account.,bank
2,Loan amount is approved by the bank.,bank
3,He returned to office after he deposited cash in the bank.,bank
4,They started using new software in their bank.,bank
5,he went to bank balance inquiry.,bank
6,I wonder why some bank have more interest rate than others.,bank
7,You have to deposit certain percentage of your salary in the bank.,bank
8,He took loan from a Bank.,bank
9,he is waking along the river bank.,bank
10,The red boat in the bank is already sold.,bank
11,Spending time on the bank of Kaligandaki river was his way of enjoying in his childhood.,bank
12,He was sitting on sea bank with his friend,bank
13,She has always dreamed of spending a vacation on a bank of Caribbean sea.,bank
14,Bank of a river is very pleasant place to enjoy.,bank
15,The ultrasonic sensor has its working principle similar to detecting obstacle by a bat.,bat
16,Does diurnal bat exist or is it that each of them is nocturnal?,bat
17,"A bat hunt food and eat at night, but sleep during the day.",bat
18,Many bat are living in this little cave,bat
19,Bat can identify the obstacles by sensing the reflected signals.,bat
20,Each player on the team has his own bat.,bat
21,Beat the thief  with the bat,bat
22,I still have my first bat with which I played cricket.,bat
23,He gave his cricket bat to his friend.,bat
24,Cramming the night before exam is surely not a good way to study.,way
25,No two people have exactly the same way of living.,way
26,Each batsman has their own way of batting.,way
27,It is  not  the right way to do your home work,way
28,I have to change two bus in my way to college.,way
29,The right way to come Kathmandu is from Muglin.,way
30,Turn on your GPS to find your way back to home.,way
31,The way to Munich is not easy,way
32,I lost my phone on the way to Dhampus.,way
33,I used a paper form for job application.,form
34,We need to fill form to get sim card from telecom operator.,form
35,You can fill up the sign up form of the facebook page.,form
36,Filling this form is quite interesting.,form
37,You have to fill the form before you enter in room.,form
38,You have to wait long to get application form.,form
39,You can fill up the form online.,form
40,Water can be found in different form.,form
41,We used to stay at line to take dinner at hostel.,line
42,Student in school are always advised to be in line wherever they go together within the school premises.,line
43,There is huge line of people along the road.,line
44,Hari have drawn a line to make rectangle.,line
45,Please draw a line in your note book.,line
46,Try to make a polygon from these given line.,line
47,Draw the straight line with pencil.,line
48,He can play the bass.,bass
49,My bass string broke.,bass
50,"It is all about the bass, no treble.",bass
51,Most bass guitar strings are made of nickel-wrapped steel. ,bass
52,Some bass has Cobalt string.,bass
53,The bass of female voice is different than that of male voice.,bass
54,I caught a  bass in my net.,bass
55,I quite like to eat bass.,bass
56,The bass is very nutritious for the person suffering from heart diseases.,bass
57,Bass is a North American delicacy.,bass
58,That stick is two foot long.,foot
59,The depth of well is about 12 foot.,foot
60,She is five foot two inch.,foot
61,his garden is 100 foot long and 50 foot wide.,foot
62,His foot was injured.,foot
63,Just use your foot while you kick a ball.,foot
64,Your foot looks so dirty.,foot
65,Ouch! pain on my left foot.,foot
66,The foot of the chair is broken.,foot
67,Just look at the foot of the hill.,foot
68,The foot of the bed seem so weak.,foot
69,She was found murdered at the foot of the stair.,foot
70,Bikram scored 3 run.,run
71,She did so fast to make more run and to lead the opponent.,run
72,The Whiskers won by a single run.,run
73,I hope this run gives a better result.,run
